26/May/2019:17:23:48 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,822584,200
26/May/2019:17:23:48 +0800,remote_addr,POST /tensorflow.WorkerService/RunGraph HTTP/2.0,46,21860,200
26/May/2019:17:23:48 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,14,151,200
26/May/2019:17:23:48 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,25,151,200
26/May/2019:17:23:48 +0800,remote_addr,POST /tensorflow.WorkerService/CleanupGraph HTTP/2.0,24,146,200
26/May/2019:17:25:12 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,146,168,200
26/May/2019:17:25:12 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,155,1069,200
26/May/2019:17:25:12 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,224,174,200
26/May/2019:17:25:12 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,195,170,200
26/May/2019:17:25:12 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,161,189679,200
26/May/2019:17:25:12 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,4269,200
26/May/2019:17:25:12 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,2217,200
26/May/2019:17:25:12 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,165,8370,200
26/May/2019:17:25:12 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,194,81684,200
26/May/2019:17:25:12 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,40936,200
26/May/2019:17:25:12 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,823115,200
26/May/2019:17:25:12 +0800,remote_addr,POST /tensorflow.WorkerService/RunGraph HTTP/2.0,46,21857,200
26/May/2019:17:25:12 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,14,150,200
26/May/2019:17:25:12 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,25,150,200
26/May/2019:17:25:12 +0800,remote_addr,POST /tensorflow.WorkerService/CleanupGraph HTTP/2.0,24,145,200
26/May/2019:17:26:28 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,146,168,200
26/May/2019:17:26:28 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,195,170,200
26/May/2019:17:26:28 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,224,174,200
26/May/2019:17:26:28 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,155,1069,200
26/May/2019:17:26:28 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,161,189688,200
26/May/2019:17:26:28 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,4269,200
26/May/2019:17:26:28 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,2217,200
26/May/2019:17:26:28 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,165,8370,200
26/May/2019:17:26:28 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,194,87309,200
26/May/2019:17:26:28 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,43744,200
26/May/2019:17:26:28 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,826344,200
26/May/2019:17:26:28 +0800,remote_addr,POST /tensorflow.WorkerService/RunGraph HTTP/2.0,46,21855,200
26/May/2019:17:26:28 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,14,150,200
26/May/2019:17:26:28 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,25,150,200
26/May/2019:17:26:28 +0800,remote_addr,POST /tensorflow.WorkerService/CleanupGraph HTTP/2.0,24,145,200
26/May/2019:17:26:29 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,146,168,200
26/May/2019:17:26:29 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,155,1069,200
26/May/2019:17:26:29 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,195,170,200
26/May/2019:17:26:29 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,224,174,200
26/May/2019:17:26:29 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,161,189679,200
26/May/2019:17:26:29 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,4269,200
26/May/2019:17:26:29 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,2217,200
26/May/2019:17:26:29 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,165,8370,200
26/May/2019:17:26:29 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,44900,200
26/May/2019:17:26:29 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,194,89630,200
26/May/2019:17:26:29 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,803608,200
26/May/2019:17:26:29 +0800,remote_addr,POST /tensorflow.WorkerService/RunGraph HTTP/2.0,46,21855,200
26/May/2019:17:26:29 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,14,150,200
26/May/2019:17:26:29 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,25,150,200
26/May/2019:17:26:29 +0800,remote_addr,POST /tensorflow.WorkerService/CleanupGraph HTTP/2.0,24,145,200
26/May/2019:17:26:30 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,146,168,200
26/May/2019:17:26:30 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,155,1069,200
26/May/2019:17:26:30 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,224,174,200
26/May/2019:17:26:30 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,195,170,200
26/May/2019:17:26:30 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,161,189679,200
26/May/2019:17:26:30 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,4269,200
26/May/2019:17:26:30 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,165,8370,200
26/May/2019:17:26:30 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,2217,200
26/May/2019:17:26:30 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,47856,200
26/May/2019:17:26:30 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,194,95542,200
26/May/2019:17:26:30 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,820574,200
26/May/2019:17:26:31 +0800,remote_addr,POST /tensorflow.WorkerService/RunGraph HTTP/2.0,46,21857,200
26/May/2019:17:26:31 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,25,150,200
26/May/2019:17:26:31 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,14,150,200
26/May/2019:17:26:31 +0800,remote_addr,POST /tensorflow.WorkerService/CleanupGraph HTTP/2.0,24,145,200
26/May/2019:17:26:31 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,146,168,200
26/May/2019:17:26:31 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,155,1069,200
26/May/2019:17:26:31 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,195,170,200
26/May/2019:17:26:31 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,224,174,200
26/May/2019:17:26:31 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,161,189679,200
26/May/2019:17:26:31 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,165,8370,200
26/May/2019:17:26:31 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,2217,200
26/May/2019:17:26:31 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,4269,200
26/May/2019:17:26:32 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,49421,200
26/May/2019:17:26:32 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,194,98663,200
26/May/2019:17:26:32 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,823114,200
26/May/2019:17:26:32 +0800,remote_addr,POST /tensorflow.WorkerService/RunGraph HTTP/2.0,46,21854,200
26/May/2019:17:26:32 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,14,150,200
26/May/2019:17:26:32 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,25,150,200
26/May/2019:17:26:32 +0800,remote_addr,POST /tensorflow.WorkerService/CleanupGraph HTTP/2.0,24,145,200
26/May/2019:17:26:51 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,146,168,200
26/May/2019:17:26:51 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,195,170,200
26/May/2019:17:26:51 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,155,1069,200
26/May/2019:17:26:51 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,224,174,200
26/May/2019:17:26:51 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,161,189679,200
26/May/2019:17:26:51 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,4269,200
26/May/2019:17:26:51 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,2217,200
26/May/2019:17:26:51 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,165,8370,200
26/May/2019:17:26:51 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,194,105272,200
26/May/2019:17:26:51 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,52721,200
26/May/2019:17:26:51 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,833862,200
26/May/2019:17:26:52 +0800,remote_addr,POST /tensorflow.WorkerService/RunGraph HTTP/2.0,46,21858,200
26/May/2019:17:26:52 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,25,150,200
26/May/2019:17:26:52 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,14,150,200
26/May/2019:17:26:52 +0800,remote_addr,POST /tensorflow.WorkerService/CleanupGraph HTTP/2.0,24,145,200
26/May/2019:17:26:52 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,146,168,200
26/May/2019:17:26:52 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,224,174,200
26/May/2019:17:26:52 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,155,1069,200
26/May/2019:17:26:52 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,195,170,200
26/May/2019:17:26:52 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,161,189688,200
26/May/2019:17:26:52 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,165,8370,200
26/May/2019:17:26:52 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,2217,200
26/May/2019:17:26:52 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,4269,200
26/May/2019:17:26:52 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,52641,200
26/May/2019:17:26:52 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,194,105103,200
26/May/2019:17:26:52 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,809267,200
26/May/2019:17:26:53 +0800,remote_addr,POST /tensorflow.WorkerService/RunGraph HTTP/2.0,46,21856,200
26/May/2019:17:26:53 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,14,151,200
26/May/2019:17:26:53 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,25,151,200
26/May/2019:17:26:53 +0800,remote_addr,POST /tensorflow.WorkerService/CleanupGraph HTTP/2.0,24,146,200
26/May/2019:17:26:54 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,146,169,200
26/May/2019:17:26:54 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,155,1070,200
26/May/2019:17:26:54 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,195,171,200
26/May/2019:17:26:54 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,224,175,200
26/May/2019:17:26:54 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,161,189680,200
26/May/2019:17:26:54 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,4270,200
26/May/2019:17:26:54 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,2218,200
26/May/2019:17:26:54 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,165,8371,200
26/May/2019:17:26:54 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,54670,200
26/May/2019:17:26:54 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,194,109178,200
26/May/2019:17:26:54 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,824084,200
26/May/2019:17:26:54 +0800,remote_addr,POST /tensorflow.WorkerService/RunGraph HTTP/2.0,46,21855,200
26/May/2019:17:26:54 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,25,151,200
26/May/2019:17:26:54 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,14,151,200
26/May/2019:17:26:54 +0800,remote_addr,POST /tensorflow.WorkerService/CleanupGraph HTTP/2.0,24,146,200
26/May/2019:17:26:55 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,146,169,200
26/May/2019:17:26:55 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,2218,200
26/May/2019:17:26:55 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,4270,200
26/May/2019:17:26:55 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,165,8371,200
26/May/2019:17:26:55 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,195,171,200
26/May/2019:17:26:55 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,155,1070,200
26/May/2019:17:26:55 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,224,175,200
26/May/2019:17:26:55 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,161,189680,200
26/May/2019:17:26:55 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,54398,200
26/May/2019:17:26:55 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,194,108625,200
26/May/2019:17:26:55 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,811758,200
26/May/2019:17:26:55 +0800,remote_addr,POST /tensorflow.WorkerService/RunGraph HTTP/2.0,46,21860,200
26/May/2019:17:26:55 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,14,151,200
26/May/2019:17:26:55 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,25,151,200
26/May/2019:17:26:55 +0800,remote_addr,POST /tensorflow.WorkerService/CleanupGraph HTTP/2.0,24,146,200
26/May/2019:17:26:57 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,146,169,200
26/May/2019:17:26:57 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,155,1070,200
26/May/2019:17:26:57 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,195,171,200
26/May/2019:17:26:57 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,224,175,200
26/May/2019:17:26:57 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,161,189680,200
26/May/2019:17:26:57 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,165,8371,200
26/May/2019:17:26:57 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,4270,200
26/May/2019:17:26:57 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,168,2218,200
26/May/2019:17:26:58 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,197,56842,200
